color,size,styleNumber,productImageName,theme,subTheme,productName,shortDesc,longDesc,longDesc2,regularPrice,salePrice,bestSelling,closeOut,season,packageType,weight,gender
Dark Brown,7 to 13,3111,3111,FISHING,WADER,Pro Liner 3111,3-Ply Nylon Hip Wader,"• 100% waterproof • Innovative One Piece, Seamless construction of Stretchable, Lightweight and Durable 3-ply nylon jersey/rubber/nylon jersey material • Test proven superiority over canvas, rubber or nylon for abrasion resistant • Reinforced knee pads • Large inside pocket for extra storage • Belt loops • YKK&#174; buckles for extra quality &amp; wear • Inside draw string for snug fit • Outside rubber pull strap for tighter fit • Adjustable nylon wader strap • Ozone resistant special rubber compounding to avoid cracking and deterioration • Cleated outsole for super traction • 200 grams of Thinsulate™ Insulation • Soft PU sponge rubber for extra insulation in shaft",,79.95,,,,All Seasons,Boxed,12,Men
Dark Brown,7 to 13,3112,3112,FISHING,WADER,Pro Liner 3112,3-Ply Nylon Chest Wader,"• 100% waterproof • Innovative One Piece, Seamless construction of Stretchable, Lightweight and Durable 3-ply nylon jersey/rubber/nylon jersey material • Test proven superiority over canvas, rubber or nylon for abrasion resistant • Reinforced knee pads • Large inside pocket for extra storage • Belt loops • YKK&#174; buckles for extra quality &amp; wear • Inside draw string for snug fit • Ozone resistant special rubber compounding to avoid cracking and deterioration • Cleated outsole for super traction • 200 grams of Thinsulate™ Insulation • Soft PU sponge rubber for extra insulation in shaft",,109.95,99.95,,,All Seasons,Boxed,13,Men
Khaki,7 to 13,32301KHK,32301KHK,FISHING,WADER,Pro Liner 32301,3-Ply Nylon Chest Wader,"• 100% waterproof • Innovative One Piece, Seamless construction of Stretchable, Lightweight and Durable 3-ply nylon jersey/rubber/nylon jersey material • Test proven superiority over canvas, rubber or nylon for abrasion resistant • Reinforced knee pads • Large inside pocket for extra storage • Belt loops • YKK&#174; buckles for extra quality &amp; wear • Inside draw string for snug fit • Ozone resistant special rubber compounding to avoid cracking and deterioration • Cleated outsole for super traction • 200 grams of Thinsulate™ Insulation • Soft PU sponge rubber for extra insulation in shaft",,99.95,89.95,,,All Seasons,Boxed,13,Men
Light Brown,8 to 13,42301MX4,42301MX4,HUNTING,WADER,Rogue 42301MX4,Breathable Chest Wader,• 100% waterproof breathable upper • High back design with elastic top line for better fit • Outside utility pocket with hook and loop closure • Wader belt for safety • Adjustable suspenders for excellent fit • YKK&#174; buckles for easy on and off Bootfoot • Ozone resistant rubber to prevent cracking and deterioration • 600 grams of Thinsulate™ Ultra Insulation for warmth • Molded outsole for better traction,,149.95,,,,All Seasons,Boxed,12,Men
Camo,8 to 13 with half sizes up to 10.5,63001HWD,63001HWD,HUNTING,BOOTS,DAKOTA 63001HWD,Camo Moc,• All over camouflage nylon uppers • Elastic side gores for snug fit • Nylon pull tab for easy on and off • Lightweight long wearing rubber outsole • Soft removable insole Color: Realtree&#174; Hardwood Grey™ Hiking Boot (Pro Line),,29.95,,,,All Seasons,Boxed,4,Men
Camo with Black and Beige Trim,8 to 13 with half sizes up to 11.5,63002HWD,63002HWD,HUNTING,BOOTS,Trail Breaker 63002HWD,Men's Camo Hiker,"• 900 denier nylon and suede leather upper • Black PVC toe and heel overlay for protection • Lightweight phylon midsole and rubber outsole • Pull tab for easy on and off • Removable insole for all day comfort Color: Grey, Tan, Realtree&#174; Hardwood Grey™ Hiking Boots (Pro Line)",,39.95,,,,All Seasons,Boxed,4,Men
Tan,7 to 13,7201,7201,FISHING,WADER,Hickory Creek 7201,Men's Canvas Hip Wader,"• The upper is a lamination of three plies of canvas, rubber and canvas • Ideal for walking through brush, briar, etc. • The hip wader has belt straps and knee harnesses • Each wader is tank tested to assure 100% waterproof • The felt outsole styles feature a thick, tough and long wearing polypropylene felt combination • Heavy duty cotton lining with sponge insoles",,74.95,,,,All Season,Boxed,10,Men
Dark Camo with Black Trim,7 to 13,C-39BU,C-39BU,HUNTING,BOOTS,C-39BU,Rubber Bottom Hunting Boot,"• The upper is constructed of 900 denier nylon with double padded collar • The waterproof rubber bottom is insulated with 200 grams of Thinsulate™ Insulation throughout the entire foot • Fully lined with sponge and fleece insole • Height 10-1/2” with 8 eyelets • Lightweight and flexible, a great all-around hunting and sport boot • Cold activity rating to minus 20 degrees Color: Mossy Oak&#174; Break Up™ Hunting Boots (Pro Line)",,39.95,,,,All Seasons,Boxed,5,Men
Dark Brown,7 to 14,NW9301,NW9301,FISHING,WADER,Marsh Creek NW9301,Neoprene Bootfoot Chest Wader,"• Neoprene Chest Waders • 3.5MM neoprene lightweight, insulated, snug fit • Each wader is air and water tested to assure waterproof • All seams are butt cemented, stitched and sealed • Removable suspenders so wader upper can be rolled down • Quick release buckles • Large outside pocket • Repair kit and instruction included • Double knee patches Rubber Boot Foot • All vulcanized rubber construction • Completely insulated with thick sponge, rubber • 200 grams of Thinsulate™ Insulation • The rubber outsole style features a deep cleated design for traction",,109.95,,,,All Season,Boxed,10,Men
Tan,7 to 14,W275V,W275V,FISHING,BOOTS,Navasink W275V,Felt Outsole with hook and loop straps,"• The most rugged wading shoe available today • The upper is constructed of 1200 denier nylon, reinforced with rubber foxing tape and hard rubber toes • Large padded collar with pull on strap and drain holes • The width is wide and will accommodate all stocking foot waders",,49.95,,,,All Seasons,Boxed,5,Men
Tan,7 to 14,W285D,W285D,FISHING,BOOTS,Navasink W285D,Rubber Outsole with D-Rings,"• The most rugged wading shoe available today • The upper is constructed of 1200 denier nylon, reinforced with rubber foxing tape and hard rubber toes • Large padded collar with pull on strap and drain holes • The width is wide and will accommodate all stocking foot waders",,49.95,,,,All Seasons,Boxed,5,Men
Black,7 to 13,W375R,W375R,FISHING,BOOTS,Fishkill W375R,Neoprene Wading Shoes,• 5MM neoprene upper with side zipper • Reinforced rubber vamp and heel counter • Threaded rubber calendar outsole • Side zipper easy on-off,,54.95,44.95,,,All Seasons,Boxed,5,Men
Silver; Green,Men 8 to 13,W430,W430,FISHING,BOOTS,Clear Creek W430,Nylon Felt Sole Wading Shoes,"• Lightweight felt sole wading shoe • Durable 1500 denier nylon and PVC overlay • Scuff resistant toe cap and heel counter for stability • Non rusting eyelets, strong nylon lace for better fit • Removable insole for comfort • Light weight PU midsole, protects from rugged bottoms • One piece felt outsole for better traction, helps prevent slipping on wet and mossy rocks • Quick drying lining • Wading shoe is made to allow better fit with neoprene bootie on wader",,59.95,,,,All Seasons,Boxed,5,Men
Brown,3 to 6   7 to 14,501,501,FISHING,WADER,RUBBER HIP 501,Rubber Hip Boot Cleated Outsole,,,49.95,,,,ALL,Polybag,8,Children
Dark Green,8 to 13,14401GRN,14401GRN,RUBBER BOOTS,BOOTS,BRUSH CREEK 14401GRN,Rubber Knee Boot,"•100% Waterproof •All vulcanized rubber construction •Special rubber compounding formula for ozone resistance to avoid cracking •Fully lined with neoprene to give you better fit, comfort, and warmth •Moisture wicking fleece lining •400 grams of Thinsulate™ Ultra Insulation for warmth •EVA midsole and removable insole for all day comfort •Rugged outsole with Ice Sensor™ compound for superior traction Ruuber Boots (Pro Line)",,99.95,,,,ALL,Boxed,10,Men
Brown,"3/5, 4/6, 5/7, 6/8, 9, 10",905,905,FISHING,WADER,RIVERETTE 905, Boy's and Women's Rubber Chest Wader,"•Vulcanized construction - factory tested 100% waterproof • Insulated boot with sponge rubber padding • Deep cleated outsole for sure traction • Layered toe cap for longer wear • Aggressive padded knee for protection and comfort • Large inside utility pocket • Draw string for better fit • Reinforced belt loops (wading belt recommended, not included)",,74.95,,,,ALL,Boxed,10,Boy; Women
Brown,3 to 6,2010,2010,FISHING,WADER,STREAM 2010,Boy's Rubber Hip Boot,• Vulcanized construction - factory tested 100% waterproof • Insulated boot with sponge rubber padding • Deep cleated outsole for sure traction • Layered toe cap for longer wear • Aggressive padded knee for protection and comfort • Inside knee harness for alternative wear • Adjustable side strap for better fit,,54.95,,,,All,Polybag,9,Children
Tan,7 to 13,42402,42402,FISHING,WADER,WALLKILL 42402,Breathable Bootfoot Wader Felt Sole,"Upper Wader • 100% waterproof • Waders feature waterproof/breathable coating that lets the body heat and perspiration escape while keeping the wet and moisture out • Inside pocket with hook and loop closure • Belt loops and wader belt for safety • Elastic suspenders are adjustable for better fit Bootfoot • Neoprene Lining for extra comfort and warmth • Special ozone resistant rubber compounding to avoid cracking and deterioration • Felt outsole style features a heavy felt for super traction on slippery surfaces like rocks, etc.",,179.95,,,,All,Boxed,11,Men
Dark Green,7 to 14,71101,71101,FISHING,WADER,Twin River 71101,Lightweight 420D Nylon Hip Boot,•100% Waterproof •Extremely lightweight rubber construction with 300D nylon lamination but with durability and strength to protect •Cleated outsole for sure traction •Removable insole for all day wearing comfort •Adjustable side strap for perfect fit,,59.95,,,,All,Boxed,10,Men
Brown ,7 to 13,82001,82001,PAC BOOTS,BOOTS,Camper Twin Gore 82001,Nubuck Leather Pull On Boot,•Premium Nubuck leather upper •Elastic twin gore and pull tabs for easy on and off •Waterproof molded TPR shell for long wearing •Fully lined with Nylex •Removable insole for all day comfort •200 grams of Thinsulate™ Insulation Pac Boot (Pro Line),,44.95,,,,All,Boxed,6,Men
Brown,7 to 13,88201,88201,PAC BOOTS,BOOTS,High Sierra 88201,Suede Leather Pac Boot,•Suede leather upper with 1200 denier nylon padded tongue for comfort •Removable liner with 200 grams of Thinsulate™ Insulation for warmth •Molded outsole for superior traction •Pull tab for easy on and off •Rust proof hooks and D-rings for quick lacing Pac Boots (Pro Line),,59.95,,,,Winter,Polybag,5,Men
Brown with Camo,8 to 13,14001MOB,14001MOB,HUNTING,BOOTS,Hidden Trail II 14001MOB,Rubber and Spantough™ Knee Boot,• 100% Waterproof - all vulcanized rubber construction • Fully lined with Neoprene for warmth and comfort • SpanTough™ shafts for high abrasion and long wearing • Black rubber toe and heel reinforcements • Molded rubber outsole for super traction • Removable insole for all day comfort Mossy Oak&#174; New Break Up™ Rubber Boots (Pro Line),,74.95,,,,Fall,Boxed,10,Men
Brown with Black Knee Pads; Trim,Boy 3 to 6,2010F,2010F,FISHING,WADER,STREAM 2010F,Boy's Rubber Hip Boot Felt Sole,• Vulcanized construction - factory tested 100% waterproof • Insulated boot with sponge rubber padding • Felt outsole for sure traction • Layered toe cap for longer wear • Aggressive padded knee for protection and comfort • Inside knee harness for alternative wear • Adjustable side strap for better fit,,54.95,,,,All,Polybag,9,Children
Dark Brown,6 to 13,3141,3141,FISHING,WADER,Proliners 3141,3-Ply Stretch Hip Wader Felt Bottom,"• 100% waterproof • Innovative construction of Stretchable, Lightweight and Durable 3-ply nylon jersey/rubber/nylon jersey material • Test proven superiority over canvas, rubber or nylon for abrasion resistant • Reinforced knee pads • Outside rubber pull strap for tighter fit • Adjustable nylon wader strap • Ozone resistant special rubber compounding to avoid cracking and deterioration • Felt outsole for slip protection • 200 grams of Thinsulate™ Insulation • Soft PU sponge rubber for extra insulation in shaft",,89.95,79.95,,,all,Boxed,11,Men
Navy Blue with Grey,8 to 13,385M,385M,RUBBER BOOTS,BOOTS,Captain 385M,16&quot;Rubber Knee Boot,•16” Rubber Knee Boot •100% Waterproof •Cotton lining with removable cushioned insole •Draw String collar to keep you dry •Embossed rubber toe for added protection •Top of the line highly resistant non-skid outsole •Heel kicker for easy on and off,,59.95,,,,All,Boxed,7,Men
Brown Camo,7 to 14,711,711,FISHING,WADER,Walnut Canyon 711,Canvas Camo Hip Boot,• High content rubber compound • Deep cleated gum rubber outsole • Steel shanks • 100% waterproof • All vulcanized rubber construction • Cushion insoles • 3-Ply construction on upper • Insulated throughout the entire bottom over the ankle with sponge rubber,,69.95,,,,All,Boxed,10,Men
Brown,7 to 12,W440,W440,FISHING,BOOTS,Rivulet W440,Metal Studded Felt Outsole Wading Shoe,•Full Grain leather and ballistic nylon upper for superior wear and comfort •Padded collar and gusset tongue for snug fit •Sturdy heel counters and toe cap for long wear •Removable insole •Sized to accommodate stocking foot wader •Tough laces and D-ring hardware for snug fit •Drain holes for comfort •Lightweight polyurethane midsole for comfort •Unique outsole design – two piece felt outsole with rubber strike areas for long wear •Tungsten Steel Metal Studs to prevent slipping,,89.95,,,,All,Boxed,5,Men
Brown with Camo,3 to 6,WIN1009BU,WIN1009BU,HUNTING,BOOTS,Sharp Shooter WIN1009BU,Boy's and Youth's Nubuck Hunting Boot,"•Silicon impregnated waterproof Nubuck leather with 1000 Denier Cordura&#174; Nylon on side panel •Complete waterproof construction with latex sealed seams and injected outsoles •400 grams of Thinsulate™ Ultra Insulation surrounds the entire foot •Cambrelle&#174; lining wick away any moisture •Orthotic molded insole, molded lug outsole •100% waterproof •Speed lace system Hunting Boots (Pro Line)",,59.95,,,,Fall,Boxed,6,Children
Mossy Oak with Brown Boots,7 to 13,WIN7002MOB,WIN7002MOB,HUNTING,WADER,Sunrise WIN7002MOB,Winchester Camo Wader,•Durable 420 Denier nylon laminated to rubber with 90 Denier backing •All seams vulcanized to keep water out •100% waterproof •Inside utility pocket •Strong drawstring for better fit •Accessory rings •Molded foam knee pads for comfort •Lightweight for all day wearing •Vulcanized rubber boot is permanently attached to upper •Cleated outsole for traction •200 grams of Thinsulate™ Insulation for warmth •Rubber foam midsole for comfort •Steel Shank for stability,,99.95,,,,All,Boxed,13,Men
Light Brown,7 to 13,Win7002MX4,Win7002MX4,HUNTING,WADER,Sunrise WIN7002MX4,Winchester Camo Wader,•Durable 420 Denier nylon laminated to rubber with 90 Denier backing •All seams vulcanized to keep water out •100% waterproof •Inside utility pocket •Strong drawstring for better fit •Accessory rings •Molded foam knee pads for comfort •Lightweight for all day wearing •Vulcanized rubber boot is permanently attached to upper •Cleated outsole for traction •200 grams of Thinsulate™ Insulation for warmth •Rubber foam midsole for comfort •Steel Shank for stability,,99.95,,,,Fall,Boxed,13,Men
Mossy Oak with Brown Boots,7 to 13,WIN7063BU,WIN7063BU,HUNTING,BOOTS,Daybreak WIN7063BU,CAMO RUBBER KNEE BOOT,•100% waterproof •All vulcanized rubber construction with heavy canvas side panels •Camouflage pattern •Heavy cotton lining with cushioned removable insoles •Adjustable buckle cinch strap •Our special compounding formulation for ozone protection •200 grams of Thinsulate™ Insulation •Deep Cleated outsole for super traction Rubber Boots (Pro Line),,49.95,,,,Fall,Boxed,8,Men
Timber with Brown Boots,7 to 13,WIN7063TB,WIN7063TB,HUNTING,BOOTS,Daybreak WIN7063TB,CAMO RUBBER KNEE BOOT,•100% waterproof •All vulcanized rubber construction with heavy canvas side panels •Camouflage pattern •Heavy cotton lining with cushioned removable insoles •Adjustable buckle cinch strap •Our special compounding formulation for ozone protection •200 grams of Thinsulate™ Insulation •Deep Cleated outsole for super traction Rubber Boots (Pro Line),,49.95,,,,Fall,Boxed,8,Men
Mossy Oak with Brown Boots,7 to 13,WIN760MOB,WIN760MOB,HUNTING,BOOTS,Big Mike WIN760MOB,Leather and Nylon Hunting Boot,•Leather and Nylon upper •Rubber boot •600 grams of Thinsulate™ Ultra Insulation •Padded collar for comfort •Pull tab for easy and off •Removable bootie liner for extra comfort Hunting Boots (Pro Line),,49.95,,,,Fall,Boxed,6,Men
Brown,One Size,BELT,BELT,FISHING,ACCESSORY,WADER BELT,Wader Belt,"ADJUSTABLE WEBBING QUICK RELEASE BUCKLE IDEAL FOR WADERS, BEDROLLS, AND OTHER OUTDOOR GEAR",,5.45,,,,All,pre packaged,1,Accessories
Brown; Camo,One Size,WSB,WSB,FISHING,ACCESSORY,Pro Line WADER SUSPENDER WSB,Wader Suspender,Deluxe 1 1/2 inch wide elastic H-back design Synthetic Leather - Easy Snap,,9.95,,,,ALL,,1,Accessories
Dark Brown,"S, M, L, XL ",PG402STKFT,PG402STKFT,FISHING,WADER,PRO GEAR NEOPRENE WADER PG402STKFT,Neoprene Stocking Foot Wader,"• 100% Waterproof • 3 Piece Stocking Foot Design Fits Wading Shoes • Removable Suspenders So Wader Can Be Rolled Down • Vulcanized Rubber Construction • All Seams Are Cemented, Stitched And Sealed • Large Outside Pocket • Double Knee Patch",,40.95,30,,,ALL,BOXED,5,Men
Green; Tan,6 to 14,PG2000F,PG2000F,FISHING,BOOTS,PRO GEAR WADING SHOE PG2000F,Felt Outsole Wading Shoe,•Hard Rubber Toe •Upper Is Constructed Of 1200 Denier Condura •Large Padded Collar With Pull Strap •Wide Last (Width) To Accommodate All Neoprene Stocking Waders •Felt Outsole For Slip Protection,,44.95,34.95,,,ALL,BOXED,7,Men
Brown,7 to 14,PG700C,PG700C,FISHING,WADER,PRO GEAR RUBBER CHEST WADER PG700C,Rubber Chest Wader Cleated Outsole,"•100% Waterproof •Large Inside Utility Pocket, Chest Draw String, And Belt Loops •Vulcanized Rubber Construction •Reinforced Toe Cap •Heavy Cotton Lining With Sponge Insoles •Steel Shanks For Stability •Heavy Duty Double Thick Cleated Outsole For Traction",,32.95,15,,,ALL,BOXED,12,Men
Brown,One Size,PG1855,PG1855,FISHING,ACCESSORY,PRO GEAR PANT KEEPER PG1855,Pant Keeper,"•2.4mm Neoprene •Adjustable Hook &amp; Loop Closure •Keeps Pants &amp; Socks In Place •A Must For Waders, Hip Boots, Cycling &amp; 4-Wheeling",,5.95,,,,ALL,,1,Accessories
Light Brown,7 to 14,NW7700MX4,NW7700MX4,HUNTING,WADER,NW7700MX4,OSPREY,100% WATERPROOF 3.5MM NEOPRENE UPPER MATCHING CAMOUFLAGE ADJUSTABLE SUSPENDERS AND WADER BELT FOR BETTER FIT DOUBLE KNEEPADS 600 GRAMS OF THINSULATE ULTRA INSULATION ALL VULCANIZED CONSTRUCTION - OZONE RESISTANT COMPOUND STUDDED OUTSOLE,,109.95,,,,ALL,BOXED,12,Men
Camo,1 to 5,66001,66001,HUNTING,BOOTS,Mini Moc 66001,Baby infant shoes,Team Realtree; Baby Infant Shoes SIZE AGE LENGTH 1 0 -3 MONTHS UP TO 3; INCHES 2 3 -6 MONTHS UP TO 4 INCHES 3 6 -9 MONTHS UP TO 4 ; INCHES 4 9 -12 MONTHS UP TO 4; INCHES 5 12 -15 MONTHS UP TO 5 INCHES,Twin elastic gores for great fit Features genuine Realtree&#174; Hardwoods Grey™Camo materials Soft flexible soles as recommended by experts For indoor and outdoor use Infant sizes 1 to 5,17.95,,,,All,Blister Pack,"0,2",Baby
Grey Camo,1 to 5,66002,66002,HUNTING,BOOTS,Toasty 66002, Baby infant shoes,Team Realtree&#174; Baby Infant Shoes SIZE AGE LENGTH 1 0 -3 MONTHS UP TO 3 &#189; INCHES 2 3 -6 MONTHS UP TO 4 INCHES 3 6 -9 MONTHS UP TO 4 &#189; INCHES 4 9 -12 MONTHS UP TO 4 &#190; INCHES 5 12 -15 MONTHS UP TO 5 INCHES,Warm and toasty fleece collar Soft flexible soles as recommended by experts Features genuine Realtree&#174; Hardwoods Grey™ camo materials Elastic shoe laces provides great fit and will not untie For indoor and outdoor use Infant sizes 1 to 5,17.95,,,,All,Blister Pack,"0,23",Baby
Brown with camo trim,1 to 5,66003,66003,HUNTING,BOOTS,Cubby 66003,Baby infant shoes,Team Realtree&#174; Baby Infant Shoes SIZE AGE LENGTH 1 0 -3 MONTHS UP TO 3 &#189; INCHES 2 3 -6 MONTHS UP TO 4 INCHES 3 6 -9 MONTHS UP TO 4 &#189; INCHES 4 9 -12 MONTHS UP TO 4 &#190; INCHES 5 12 -15 MONTHS UP TO 5 INCHES,Features genuine Realtree&#174; Hardwoods Grey™ camo material Soft comfortable breathable fabris uppers Soft flexible soles as recommended by experts Soft padded collars For indoor and outdoor use Infant sizes 1 to 5,17.95,,,,All,Blister Pack,"0,2",Baby
